Тип,Підтип,Бенефіціар,Інвестор,Країна,Найменування суб'єкта госпощдарювання,Область,Район,"Потужність, МВт","Дата встановлення ""Зеленого тарифу""",Місяць,Квартал,Рік,Зелений Тариф ЕЦ,% надбавки,Тариф+ надбавка,Дата встановлення надбавки,Січ.17,Лют.17,Бер.17,Кві.17,Тра.17,Чер.17,Лип.17,Сер.17,Вер.17,Жов.17,Лис.17,Гру.17,Січ.18,Лют.18,Бер.18,Кві.18,Тра.18,Чер.18,Лип.18,Сер.18,Вер.18,Жов.18,Лис.18,Гру.18,Січ.19,Лют.19,Бер.19,Кві.19,Тра.19,Чер.19,Лип.19,Сер.19,1,2,3,4,5,6,7,8,9,10,11,12,Всього
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""Вітряний парк Новоазовський""",Донецька ,Новоазовський,57.5,2011-06-09,6.0,2,2011.0,0.1131,0.0,0.1131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ВЕС,unknown,Єфімов,,Україна,ТОВ «ВІТРЯНИЙ ПАРК ПІВДЕННИЙ» ,Миколаївська ,Очаківський,3.5,2019-05-28,5.0,2,2019.0,0.1018,0.1,0.112,2019-05-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.9715599935405,1036.8056153696343,1147.8919313020954,894.2010413771739,823.9063023902609,766.6656178507542,567.456255020282,761.3589188971906,797.3286797325104,924.0077427564129,1150.0665397460798,1315.6282118543456,11545.288416290281
ВЕС,unknown,Єфімов,,Україна,ТОВ «ВІТРЯНИЙ ПАРК ПІВДЕННИЙ» ,Миколаївська ,,3.5,2019-10-31,10.0,4,2019.0,0.1018,0.1,0.112,2019-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.9715599935405,1036.8056153696343,1147.8919313020954,894.2010413771739,823.9063023902609,766.6656178507542,567.456255020282,761.3589188971906,797.3286797325104,924.0077427564129,1150.0665397460798,1315.6282118543456,11545.288416290281
ВЕС,unknown,Єфімов,,Україна,ТОВ «ВІТРЯНИЙ ПАРК ПІВДЕННИЙ» ,Миколаївська ,,3.5,2020-01-14,1.0,1,2020.0,0.1018,0.1,0.112,2020-01-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.9715599935405,1036.8056153696343,1147.8919313020954,894.2010413771739,823.9063023902609,766.6656178507542,567.456255020282,761.3589188971906,797.3286797325104,924.0077427564129,1150.0665397460798,1315.6282118543456,11545.288416290281
ВЕС,unknown,Єфімов,,Україна,ПРАТ «ВІТРЯНИЙ ПАРК ОЧАКІВСЬКИЙ»,Миколаївська ,Очаківський,30.0,2012-01-01,1.0,1,2012.0,0.1131,0.0,0.1131,0,0.0,0.0,0.0,0.0,0.0,0.0,84.554,11.128,10.420000000000002,13.507999999999996,10.753,13.498999999999995,12.152,9.969,11.789,10.125,9.097,7.943,6.253,8.183,9.536,14.821,10.586,14.277,14.711,13.323,13.528,7.48,7.366,9.245,8.128,9.348,11656.899085658919,8886.90527459687,9839.073696875103,7664.58035466149,7062.05402048795,6571.419581577893,4863.910757316702,6525.933590547349,6834.24582627866,7920.06636648354,9857.713197823541,11276.81324446582,98959.61499677385
ВЕС,unknown,Єфімов,,Україна,ПРАТ «ВІТРЯНИЙ ПАРК ОЧАКІВСЬКИЙ»,Миколаївська ,Березанський,12.5,2012-11-01,11.0,4,2012.0,0.1131,0.0,0.1131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4857.041285691216,3702.877197748695,4099.614040364626,3193.575147775621,2942.5225085366455,2738.0914923241226,2026.6294822152927,2719.1389960613956,2847.602427616109,3300.027652701475,4107.380499093142,4698.672185194092,41233.17291532242
ВЕС,unknown,Єфімов,,Україна,ПРАТ «ВІТРЯНИЙ ПАРК ОЧАКІВСЬКИЙ»,Миколаївська ,Очаківський,6.6,2018-12-21,12.0,4,2018.0,0.1018,0.1,0.112,2018-12-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,1.418,2564.5177988449623,1955.119160411311,2164.596213312523,1686.207678025528,1553.651884507349,1445.7123079471367,1070.0603666096745,1435.7053899204168,1503.5340817813053,1742.4146006263786,2168.6969035211787,2480.89891378248,21771.115299290246
ВЕС,unknown,Єфімов,,Україна,ПРАТ «ВІТРЯНИЙ ПАРК ОЧАКІВСЬКИЙ»,Миколаївська ,Очаківський,3.5,2019-11-26,11.0,4,2019.0,0.1018,0.1,0.112,2019-11-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.9715599935405,1036.8056153696343,1147.8919313020954,894.2010413771739,823.9063023902609,766.6656178507542,567.456255020282,761.3589188971906,797.3286797325104,924.0077427564129,1150.0665397460798,1315.6282118543456,11545.288416290281
ВЕС,unknown,Єфімов,,Україна,ПРАТ «ВІТРЯНИЙ ПАРК ОЧАКІВСЬКИЙ»,Миколаївська ,Очаківський,4.5,2020-01-14,1.0,1,2020.0,0.1018,0.1,0.112,2020-01-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.5348628488377,1333.0357911895303,1475.8610545312658,1149.6870531992236,1059.3081030731926,985.7129372366842,729.5866135975053,978.8900385821024,1025.1368739417992,1188.009954972531,1478.6569796735312,1691.521986669873,14843.942249516076
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""ВІТРЯНИЙ ПАРК ПРИЧОРНОМОРСЬКИЙ""",Миколаївська ,,2.5,2016-10-27,10.0,4,2016.0,0.1018,0.1,0.112,2016-11-07 00:00:00,1.445,1.4829999999999999,1.7640000000000002,1.5910000000000002,1.085,0.9949999999999992,1.0300000000000011,1.2559999999999985,1.2780000000000005,2.812000000000001,2.4639999999999986,3.2620000000000005,2.669,2.253,3.896,3.339,3.405,3.407,3.026,3.822,4.121,7.672,5.82,7.51,7.895,7.098,7.57,4.601,4.4,5.335,4.572,6.675,971.4082571382432,740.575439549739,819.9228080729255,638.7150295551241,588.5045017073292,547.6182984648244,405.3258964430586,543.827799212279,569.5204855232217,660.005530540295,821.4760998186284,939.7344370388184,8246.634583064486
